frame_idx,nombre_archivo,mae_hud,mae_termico,sobel_energia,var_lap_sin_hud,var_lap_denoised,sigma_orig,sigma_sin_hud,sigma_denoised
227,frame_65238.png,5.7683,9.201,65.468,1195.46,347.86,10.3781,10.3781,10.3781
228,frame_65239.png,5.754,8.5652,66.452,1162.47,358.55,11.8606,10.3781,11.8606
229,frame_65240.png,6.0111,8.4614,70.528,1302.51,360.05,14.8258,13.3432,11.8606
230,frame_65241.png,6.7995,9.5551,82.894,1918.22,358.97,22.2387,19.2735,11.8606
231,frame_65242.png,7.1519,9.6388,87.097,2192.93,367.29,23.7213,19.2735,11.8606
232,frame_65243.png,6.7618,9.0434,81.765,1923.35,367.87,19.2735,16.3084,11.8606
233,frame_65244.png,5.8308,7.962,67.509,1248.32,381.48,11.8606,10.3781,11.8606
234,frame_65245.png,5.8671,7.9323,69.914,1278.54,391.41,13.3432,11.8606,11.8606
235,frame_65246.png,6.0621,7.9085,71.517,1330.61,385.28,16.3084,13.3432,11.8606
236,frame_65247.png,6.9321,8.8427,83.314,1932.74,380.74,22.2387,19.2735,11.8606
237,frame_65248.png,7.2286,9.6189,88.617,2253.26,417.56,25.2039,20.7561,13.3432
238,frame_65249.png,6.8832,9.0241,81.132,1855.38,425.09,17.791,16.3084,13.3432
239,frame_65250.png,5.9023,8.0402,68.136,1265.12,427.37,11.8606,10.3781,13.3432
240,frame_65251.png,7.6645,10.9854,97.195,2891.46,433.1,32.6168,26.6864,13.3432
241,frame_65252.png,5.9699,7.6541,69.069,1365.44,415.78,10.3781,10.3781,11.8606
242,frame_65253.png,6.4822,8.2871,76.295,1622.59,401.43,16.3084,14.8258,11.8606
243,frame_65254.png,6.6435,8.6001,78.095,1668.66,396.01,17.791,14.8258,11.8606
244,frame_65255.png,6.7071,8.9999,79.318,1740.82,343.88,19.2735,16.3084,10.3781
245,frame_65256.png,5.9039,8.3161,67.03,1219.31,342.65,13.3432,10.3781,10.3781
246,frame_65257.png,5.9228,9.1508,66.674,1177.26,340.11,13.3432,10.3781,10.3781
247,frame_65258.png,6.1154,9.7701,68.318,1275.21,339.86,14.8258,11.8606,10.3781
248,frame_65259.png,7.0296,11.1498,80.509,1882.88,325.73,20.7561,17.791,10.3781
249,frame_65260.png,6.7459,11.1967,78.018,1794.2,322.37,16.3084,14.8258,10.3781
250,frame_65261.png,6.7384,11.1741,74.856,1683.24,326.36,16.3084,13.3432,10.3781
251,frame_65262.png,5.8351,9.9321,60.662,1093.09,339.62,10.3781,8.8955,10.3781
252,frame_65263.png,5.825,9.9845,61.644,1052.46,342.1,10.3781,8.8955,10.3781
253,frame_65264.png,5.9956,10.3298,66.07,1236.78,342.85,13.3432,11.8606,10.3781
254,frame_65265.png,6.7986,11.3607,80.418,1938.13,333.15,20.7561,17.791,10.3781
255,frame_65266.png,6.4304,11.2639,75.767,1722.44,328.88,14.8258,13.3432,10.3781
256,frame_65267.png,6.4518,10.4778,75.088,1696.28,345.66,14.8258,13.3432,10.3781
257,frame_65268.png,5.5507,9.2912,61.595,1106.11,344.02,10.3781,8.8955,10.3781
258,frame_65269.png,5.601,9.3073,62.867,1080.37,322.94,10.3781,10.3781,10.3781
259,frame_65270.png,6.6332,10.2372,77.847,1762.72,319.69,19.2735,16.3084,10.3781
260,frame_65271.png,5.9881,9.6513,69.856,1388.65,307.91,14.8258,13.3432,10.3781
261,frame_65272.png,5.7371,9.2818,64.605,1171.27,312.92,11.8606,10.3781,10.3781
262,frame_65273.png,6.6211,10.7775,79.063,1814.0,316.75,19.2735,16.3084,10.3781
263,frame_65274.png,6.0065,9.9459,69.775,1428.21,310.3,13.3432,11.8606,10.3781
264,frame_65275.png,6.1738,9.9505,71.979,1460.83,321.29,16.3084,13.3432,10.3781
265,frame_65276.png,5.4879,8.7921,60.09,1022.47,338.71,10.3781,8.8955,11.8606
266,frame_65277.png,6.501,9.8233,75.216,1659.7,328.29,19.2735,16.3084,10.3781
267,frame_65278.png,6.8903,10.7737,82.799,2035.16,354.73,22.2387,17.791,11.8606
268,frame_65279.png,7.0313,10.5859,82.89,2082.83,349.23,22.2387,17.791,11.8606
269,frame_65280.png,5.6451,8.3041,60.939,1086.42,357.09,10.3781,8.8955,11.8606
270,frame_65281.png,7.3885,11.4741,90.897,2613.27,368.16,29.6516,23.7213,11.8606
271,frame_65282.png,5.5908,8.3313,62.924,1181.21,353.89,10.3781,8.8955,11.8606
272,frame_65283.png,6.367,9.3639,76.419,1706.73,337.91,17.791,16.3084,11.8606
